Treatment,Year,Crop,HI_mes
PRO_TEM,2000,Winter wheat,0.574074360457249
PRO_TEM,2002,Winter wheat,0.633053274534123
PRO_TEM,2004,Winter wheat,0.58429937910068
PRO_TEM,2006,Winter wheat,0.590064171904223
PRO_TEM,2009,Winter wheat,0.61602707742135
PRO_TEM,2011,Winter wheat,0.607039864696846
PRO_TEM,2013,Winter wheat,0.575226105533961
PRO_TEM,2019,Winter wheat,0.452723588482957
PRO_TEM,2021,Winter wheat,0.354107840977074
LEG_TEM,2000,Winter wheat,0.618334914920876
LEG_TEM,2002,Winter wheat,0.638759084248643
LEG_TEM,2004,Winter wheat,0.57634280985407
LEG_TEM,2006,Winter wheat,0.579115270178103
LEG_TEM,2009,Winter wheat,0.605089293202412
LEG_TEM,2011,Winter wheat,0.603613790489008
LEG_TEM,2013,Winter wheat,0.562985889406746
LEG_TEM,2019,Winter wheat,0.452628202731313
LEG_TEM,2021,Winter wheat,0.394843730178946
