ID_Treatment,Year,Temperature,P-ETP,Irrigation,Clay,CaCO3,pH,C/N,SOC_stock,Variance_SOC_stock,Nb_measurements,Main_crop,Cinp_hum
QUA_PRO_TEM,1998,10.26,56.5,0,170,0,7.07,9.34,44.53336171,0.604395086,4,Ble hiver,0.67783129637
QUA_PRO_TEM,1999,10.92,67.9,0,170,0,7.07,9.34,44.92115046,0.544939125,4,Mais grain,1.743245546376
QUA_PRO_TEM,2000,10.8,154.5,0,170,0,7.03,9.5,45.30899178,0.902994635,4,Ble hiver,0.479263734969
QUA_PRO_TEM,2001,10.54,79.6,0,170,0,7.03,9.5,44.69357569,1.845631534,4,Mais grain,1.584934332343
QUA_PRO_TEM,2002,10.98,21,0,170,0,7.03,9.55,44.07377883,5.435784603,4,Ble hiver,0.401299713328
QUA_PRO_TEM,2003,11.1,-269.7,0,170,0,7.03,9.55,43.88243456,2.874524323,4,Mais grain,1.627848925996
QUA_PRO_TEM,2004,10.3,-243.6,0,170,0,6.94,10.21,43.68344285,1.122327618,4,Ble hiver,0.53083706398
QUA_PRO_TEM,2005,10.7,-228.1,0,170,0,6.94,10.21,42.83343181,3.52552499,4,Mais grain,1.461030180415
QUA_PRO_TEM,2006,10.9,-59.7,0,170,0,6.92,9.71,41.95910247,9.04192159,4,Ble hiver,0.475709936977
QUA_PRO_TEM,2007,10.8,124.6,0,170,0,6.83,9.9,44.04910483,1.545116937,4,Orge hiver,0.331336962738
QUA_PRO_TEM,2008,10.4,-37,0,170,0,6.83,9.9,44.3876019,1.100821951,4,Mais grain,1.711307115604
QUA_PRO_TEM,2009,10.6,-134.9,0,170,0,6.76,10.77,44.73077468,1.290345335,4,Ble hiver,0.492854164718
QUA_PRO_TEM,2010,9.6,-82.8,0,170,0,6.76,10.77,44.45667893,1.248301543,4,Mais grain,1.607340895188
QUA_PRO_TEM,2011,11.5,-102.1,0,170,0,6.68,10.8,44.13390933,1.874356466,4,Ble hiver,0.41781874113
QUA_PRO_TEM,2012,10.3,116.2,0,170,0,6.68,10.8,44.22037613,1.021414065,4,Mais grain,1.405050751251
QUA_PRO_TEM,2013,10.1,35.2,0,170,0,6.57,10.48,44.32524309,0.889824441,4,Ble hiver,0.440317410008
QUA_PRO_TEM,2014,11.6,40,0,170,0,6.57,10.48,43.25313539,1.106894854,4,Mais grain,1.004333299702
QUA_PRO_TEM,2015,10.4,-143.8,0,170,0,6.83,10.15,42.21362854,1.729256338,4,Orge hiver,0.454362084042
QUA_PRO_TEM,2016,11.22,-44.2,0,170,0,6.83,10.15,42.51000729,1.105008828,4,Seigle,0.879960407257
QUA_PRO_TEM,2017,11.2,-121.2,0,170,0,6.87,10.07,42.80435624,0.823704627,4,Orge printemps,0.600476363607
QUA_PRO_TEM,2018,11.56,-207.9,0,170,0,6.87,10.07,42.50158391,0.872696334,4,Mais grain,0.994986888551
QUA_PRO_TEM,2019,11.34,-125.9,0,170,0,6.74,9.98,42.27470167,0.887253812,4,Ble hiver,1.010404899998
QUA_PRO_TEM,2020,12.1,-292.5,0,170,0,6.74,9.98,42.83506534,0.805458716,4,Mais grain,0.634441109511
