LIB_REG2	LIB_SAA	REND_2010	REND_2011	REND_2012	REND_2013	REND_2014	REND_2015	REND_2016	REND_2017	REND_2018	REND_2019	REND_2020	REND_2021	REND_2022	REND_2023	REND_2024
001 - FRANCE ENTIÈRE	04 - Blé dur d'hiver	50.22	48.36	54.35	52.12	51.33	55.94	41.29	56.55	50.39	63.82	52.74	54.25	53.26	55.12	51.21
002 - FRANCE MÉTROPOLITAINE	04 - Blé dur d'hiver	50.22	48.36	54.35	52.12	51.33	55.94	41.29	56.55	50.39	63.82	52.74	54.25	53.26	55.12	51.21
11 - Île-de-France	04 - Blé dur d'hiver	60.29	60	63.88	66.07	70.42	72.22	20.53	65.36	70.7	71.53	69.21	68.2	71.86	67.06	58.86
24 - Centre-Val de Loire	04 - Blé dur d'hiver	58.02	62.85	61.37	65	69.34	72.83	22.7	64.63	68.97	76.98	64.62	63.24	68.48	67.89	55.22
27 - Bourgogne-Franche-Comté	04 - Blé dur d'hiver	58	60	56	47	49	51	37.58	62.14	61.16	61	44.67	49.24	36.63	53.11	36.2
28 - Normandie	04 - Blé dur d'hiver	59.75	54.75	47.83	57	58.67	58.48	41.82	59.13	57.1	60	50	51.98	57.7	55.01	47.59
32 - Hauts de France	04 - Blé dur d'hiver	61.4	57.41	60.68	60.2	60.09	60.28	58.76	60.64	60.82	69	61.58	61.78	61.98	61.25	61.64
44 - Grand Est	04 - Blé dur d'hiver	48.81	49.69	50.62	54.71	53.44	52.41	41.25	59.52	52.84	58.67	58.91	47.78	49.85	60.61	47.99
52 - Pays de la Loire	04 - Blé dur d'hiver	50.92	63.92	71.09	64.96	66.94	71.4	50.19	65.84	64.32	76.2	53.79	63.11	65.68	72.49	55.97
53 - Bretagne	04 - Blé dur d'hiver										51	46.43	39.62	45.41	43.6	45.87
75 - Nouvelle Aquitaine	04 - Blé dur d'hiver	53.21	49.24	63.28	60.06	62.35	67.38	45.27	60.26	58.77	73.89	55.54	53.2	53.11	62.49	52.68
76 - Occitanie	04 - Blé dur d'hiver	48.17	41.39	50.3	46.39	43.01	47.5	49.57	52.99	37.84	55.29	44.38	45.5	42.14	44.64	48.44
84 - Auvergne-Rhône-Alpes	04 - Blé dur d'hiver	50.48	38.71	52.46	53.72	45.55	53.18	54.86	61.65	50.22	54.15	54.11	62.41	56.31	56.6	53.72
93 - Provence-Alpes-Côte d'Azur	04 - Blé dur d'hiver	35.06	33.41	34.3	36.64	30.43	30.32	36.88	36.25	31.27	33.48	35.14	45.49	34.18	34.1	43.78
94 - Corse	04 - Blé dur d'hiver	30	30	30	30	35	35	30	35	35	40	35	65	65	40	45
001 - FRANCE ENTIÈRE	01 - Blé tendre d'hiver et épeautre	72.47	68.15	73.13	74.03	74.86	79.45	53.76	73.7	69.78	79.08	68.5	71.06	71.79	73.79	60.93
002 - FRANCE MÉTROPOLITAINE	01 - Blé tendre d'hiver et épeautre	72.47	68.15	73.13	74.03	74.86	79.45	53.76	73.7	69.78	79.08	68.5	71.06	71.79	73.79	60.93
11 - Île-de-France	01 - Blé tendre d'hiver et épeautre	81.07	75.75	81.25	83.81	86.21	88.03	43.34	80.09	76.56	87.71	75.64	82.27	84.66	82.27	61.34
24 - Centre-Val de Loire	01 - Blé tendre d'hiver et épeautre	68.42	62.61	73.57	71.03	74.6	76.34	44.51	71.69	68.58	75.89	59.42	71.94	68.01	71.86	60.66
27 - Bourgogne-Franche-Comté	01 - Blé tendre d'hiver et épeautre	66.05	62.88	65.34	64.56	62.75	71.25	41.07	68.28	65.33	69.66	59.46	63.91	60.27	62.11	51.74
28 - Normandie	01 - Blé tendre d'hiver et épeautre	82.37	80.21	80.93	82.74	80.59	88.8	62.96	84.29	77.12	89.65	76.22	77.27	87.8	84.06	72.09
32 - Hauts de France	01 - Blé tendre d'hiver et épeautre	85.44	83.53	81.57	90.7	89.57	97.11	58.06	87.26	84.6	94.49	88.08	82.01	90.78	88.82	70.94
44 - Grand Est	01 - Blé tendre d'hiver et épeautre	75.49	72.76	69.59	76.22	79.12	84.46	49.68	70.44	73.48	77.5	78.74	73.44	74.17	73.66	59.31
52 - Pays de la Loire	01 - Blé tendre d'hiver et épeautre	67.12	62.99	74.09	67.83	72.74	76.22	58.25	72.47	62.13	77.98	55.66	70.76	70.02	74.32	54.7
53 - Bretagne	01 - Blé tendre d'hiver et épeautre	71.24	71.73	68.75	75.17	75.35	78.18	69.08	78.96	68.15	79.86	67.77	72.5	75.54	73.85	65.45
75 - Nouvelle Aquitaine	01 - Blé tendre d'hiver et épeautre	60.84	51.01	69.28	63.62	64.24	68	55.26	63.35	60.72	74.21	52.14	60.29	52.99	64.87	53.38
76 - Occitanie	01 - Blé tendre d'hiver et épeautre	58.08	46.22	61.44	53.43	52.6	54.25	56.08	55.91	45.69	61.23	43.56	48.25	43.69	52.93	48.96
84 - Auvergne-Rhône-Alpes	01 - Blé tendre d'hiver et épeautre	63.43	55.54	63.29	62.46	61.61	60.88	57.55	62.18	59.27	58.44	55.76	60.54	51.91	61.87	53.8
93 - Provence-Alpes-Côte d'Azur	01 - Blé tendre d'hiver et épeautre	38.44	36.34	40.16	40.71	37.56	37.54	41.98	34.92	32.82	34.35	34.62	41.61	26.48	27.74	39.9
94 - Corse	01 - Blé tendre d'hiver et épeautre	30	30	35	35	35	35	30	35	35	40	35	65	65	40	45
