Treatment,Year,Crop,Yield_mes,Stat_Agreste_dep,Source_Agreste_dep,Stat_Agreste_reg,Source_Agreste_reg
PRO_TEM,1998,Winter wheat,7.24336696488136,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
PRO_TEM,2000,Winter wheat,7.13715446410257,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
PRO_TEM,2002,Winter wheat,6.89213355,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
PRO_TEM,2004,Winter wheat,8.10758038461538,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
PRO_TEM,2006,Winter wheat,7.329667775,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
PRO_TEM,2009,Winter wheat,8.05729145945929,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
PRO_TEM,2011,Winter wheat,7.01087062014296,6.9,Mean_2011,7.575,Mean_2011
PRO_TEM,2013,Winter wheat,6.16887050084931,8.3,Mean_2013,8.381,Mean_2013
PRO_TEM,2019,Winter wheat,5.3997036864504,8.7,Mean_2019,8.771,Mean_2019
PRO_TEM,2021,Winter wheat,4.26070085588028,8.0,Mean_2021,8.227,Mean_2021
LEG_TEM,1998,Winter wheat,7.24336696488136,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
LEG_TEM,2000,Winter wheat,3.0014384974359,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
LEG_TEM,2002,Winter wheat,4.79118825,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
LEG_TEM,2004,Winter wheat,5.26551216410256,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
LEG_TEM,2006,Winter wheat,5.6769803,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
LEG_TEM,2009,Winter wheat,5.21126507051572,7.64,Yp_mean_2010_2024,7.8,Yp_mean_2010_2024
LEG_TEM,2011,Winter wheat,5.32789513820928,6.9,Mean_2011,7.575,Mean_2011
LEG_TEM,2013,Winter wheat,4.70391323807154,8.3,Mean_2013,8.381,Mean_2013
LEG_TEM,2019,Winter wheat,6.23033405645319,8.7,Mean_2019,8.771,Mean_2019
LEG_TEM,2021,Winter wheat,4.5169608788664,8.0,Mean_2021,8.227,Mean_2021
