id_Site,Site,Trial,Temp,P,PET,P-ETP,Sampling depth,Clay,Silt,Sand,CaCO3,pH,C/N,Initial SOC content,Bulk density,Rock fragment,Experiment duration,Initial SOC stock,Mean SD,SOC stock change,SOC stock change rate
1,AOUS,AOUS_10,11.1,812,758,55,20,308,435,127,130,8.1,8.1,24.1,1.20,27,8,42.2,2.5,-2.0,-0.26
1,AOUS,AOUS_2,11.1,812,758,55,20,308,435,127,130,8.1,8.2,23.5,1.20,27,8,41.2,2.6,-0.1,-0.01
1,AOUS,AOUS_8,11.1,812,758,55,20,308,435,127,130,8.1,8.1,23.3,1.20,27,8,40.8,2.6,3.6,0.45
2,AUL,AUL_11,9.9,766,668,99,23,112,95,12,781,8.1,8.7,20.1,1.20,18,12,45.6,4.1,-1.9,-0.22
3,AUZ1,AUZ1_P0C0,13.5,654,943,-290,30,246,359,393,2,7.2,7.8,7.3,1.40,0,35,30.6,3.0,0.9,-0.01
3,AUZ1,AUZ1_P0C1,13.5,654,943,-290,30,270,332,364,34,8.3,7.8,8.8,1.40,0,35,37.0,2.1,0.6,0.01
3,AUZ1,AUZ1_P4C0,13.5,654,943,-290,30,267,348,382,3,7.4,8.1,8.1,1.40,0,35,34.0,2.0,2.6,0.04
3,AUZ1,AUZ1_P4C1,13.5,654,943,-290,30,283,330,362,26,8.0,7.8,8.8,1.40,0,35,37.1,1.0,2.6,0.08
4,BIG,BIG_P0K0,11.7,994,708,286,30,170,530,300,0,6.3,9.1,24.0,1.40,5,18,95.6,4.7,-16.3,-0.59
4,BIG,BIG_P2K1,11.7,994,708,286,30,170,530,300,0,6.2,9.1,23.3,1.40,5,18,93.1,4.3,-11.7,-0.50
5,BOIG_A,BOIG_A_CM1_L0,10.9,639,726,-87,29,248,672,80,0,6.8,9.0,10.3,1.42,0,41,42.3,1.7,3.6,0.10
5,BOIG_A,BOIG_A_CM1_L2,10.9,639,726,-87,28,248,672,80,0,6.8,9.0,10.4,1.46,0,41,42.5,2.0,2.0,0.01
5,BOIG_A,BOIG_A_CM2_L0,10.9,639,726,-87,29,248,672,80,0,6.8,9.0,10.3,1.42,0,41,42.3,2.0,3.6,0.11
5,BOIG_A,BOIG_A_CM2_L2,10.9,639,726,-87,28,248,672,80,0,6.8,9.0,10.4,1.46,0,41,42.5,1.8,6.0,0.09
5,BOIG_A,BOIG_A_CM3_L0,10.9,639,726,-87,29,248,672,80,0,6.8,8.9,10.3,1.42,0,41,42.3,2.6,0.0,0.04
5,BOIG_A,BOIG_A_CM3_L2,10.9,639,726,-87,28,248,672,80,0,6.8,8.9,10.4,1.46,0,41,42.5,2.4,0.9,0.07
5,BOIG_A,BOIG_A_CM4_L0,10.9,639,726,-87,29,248,672,80,0,6.8,8.8,10.3,1.42,0,41,42.3,2.1,-0.8,0.00
5,BOIG_A,BOIG_A_CM4_L2,10.9,639,726,-87,28,248,672,80,0,6.8,8.8,10.4,1.46,0,41,42.5,2.6,0.8,0.01
5,BOIG_A,BOIG_A_CM5_L0,10.9,639,726,-87,29,248,672,80,0,6.8,8.9,10.3,1.42,0,41,42.3,3.1,2.4,0.03
5,BOIG_A,BOIG_A_CM5_L2,10.9,639,726,-87,28,248,672,80,0,6.8,8.9,10.4,1.46,0,41,42.5,4.9,3.2,0.03
5,BOIG_A,BOIG_A_CM6_L0,10.9,639,726,-87,29,248,672,80,0,6.8,8.9,10.3,1.42,0,41,42.3,3.2,2.4,0.02
5,BOIG_A,BOIG_A_CM6_L2,10.9,639,726,-87,28,248,672,80,0,6.8,8.9,10.4,1.46,0,41,42.5,2.6,2.3,0.01
