Treatment,Year,Type,Crop,Yield_mes,Yp_regstat,HI,S:R,Pse,beta,hag,hbg,I,sigma_I
LEG_TEM,1998,CP,Ble hiver,7.24336696488136,7.64,0.479,4.5,0.4,0.96,0.217,0.4,0.9853411397399197,0.5616444496517542
LEG_TEM,1999,CP,Mais grain,8.28298365820858,8.748,0.49,3.7,1.0,0.952,0.233,0.4,1.9372842710442175,1.1042520344952038
LEG_TEM,2000,CP,Ble hiver,3.0014384974359,7.64,0.479,4.5,0.4,0.96,0.217,0.4,0.9853411397399197,0.5616444496517542
LEG_TEM,2001,CP,Mais grain,6.26004807944258,8.748,0.49,3.7,1.0,0.952,0.233,0.4,1.9372842710442175,1.1042520344952038
LEG_TEM,2002,CP,Ble hiver,4.79118825,7.64,0.479,4.5,0.4,0.96,0.217,0.4,0.9853411397399197,0.5616444496517542
LEG_TEM,2003,CP,Mais grain,6.39804322194266,8.748,0.49,3.7,1.0,0.952,0.233,0.4,1.9372842710442175,1.1042520344952038
LEG_TEM,2004,CP,Ble hiver,5.26551216410256,7.64,0.479,4.5,0.4,0.96,0.217,0.4,0.9853411397399197,0.5616444496517542
LEG_TEM,2005,CP,Mais grain,5.30612275609365,8.748,0.49,3.7,1.0,0.952,0.233,0.4,1.9372842710442175,1.1042520344952038
LEG_TEM,2006,CP,Ble hiver,5.6769803,7.64,0.479,4.5,0.4,0.96,0.217,0.4,0.9853411397399197,0.5616444496517542
LEG_TEM,2007,CP,Orge hiver,4.47459551538462,7.238,0.509803921568628,6.3,0.4,0.941,0.222,0.4,0.7770768531806225,0.44293380631295476
LEG_TEM,2008,CP,Mais grain,4.70662412574511,8.748,0.49,3.7,1.0,0.952,0.233,0.4,1.9372842710442175,1.1042520344952038
LEG_TEM,2009,CP,Ble hiver,5.21126507051572,7.64,0.479,4.5,0.4,0.96,0.217,0.4,0.9853411397399197,0.5616444496517542
LEG_TEM,2010,CP,Mais grain,4.40525561201734,9.4,0.49,3.7,1.0,0.952,0.233,0.4,2.0816726277795663,1.1865533978343528
LEG_TEM,2011,CP,Ble hiver,5.32789513820928,6.9,0.479,4.5,0.4,0.96,0.217,0.4,0.8899023382467861,0.507244332800668
LEG_TEM,2012,CP,Mais grain,5.62559574723681,9.2,0.49,3.7,1.0,0.952,0.233,0.4,2.0373817208055325,1.1613075808591533
LEG_TEM,2013,CP,Ble hiver,4.70391323807154,8.3,0.479,4.5,0.4,0.96,0.217,0.4,1.0704622329635254,0.6101634727892095
LEG_TEM,2014,CP,Mais grain,1.37647944334587,10.8,0.49,3.7,1.0,0.952,0.233,0.4,2.3917089765977995,1.3632741166607456
LEG_TEM,2015,CP,Orge hiver,4.16177059518011,8.5,0.509803921568628,6.3,1.0,0.941,0.222,0.4,1.4024603059329892,0.7994023743818037
LEG_TEM,2016,CP,Luzerne 3 ans foin,12.9468735656345,10.982,0.9,1.5,1.0,0.966,0.276,0.4,1.5383516693011758,0.8768604515016701
LEG_TEM,2017,CP,Luzerne 3 ans foin,13.624580513595,12.308,0.9,1.5,1.0,0.966,0.276,0.4,1.724096917297293,0.982735242859457
LEG_TEM,2018,CP,Mais grain,5.50564123191405,8.0,0.49,3.7,1.0,0.952,0.233,0.4,1.771636278961333,1.0098326790079597
LEG_TEM,2019,CP,Ble hiver,6.23033405645319,8.7,0.479,4.5,1.0,0.96,0.217,0.4,1.676478525876927,0.9555927597498484
LEG_TEM,2020,CP,Feverole,0.72300141557653,2.2,0.531,2.7,1.0,0.955,0.276,0.4,0.5446602958255371,0.31045636862055614
LEG_TEM,2021,CP,Ble hiver,4.5169608788664,8.0,0.479,4.5,1.0,0.96,0.217,0.4,1.541589449082232,0.8787059859768721
